"","names","descriptions","total_funding","wordcount","average_score","score_sd","num_responses","funding_dummy","clean_text","dup1","dup2","match","Infrastructure","Telecommunications","Logistics","Small.and.Medium.Businesses","Hospitality","E.Commerce","Delivery","Mobile","Property.Management","NFC","Film.Distribution","Internet","RFID","Fashion","Mobile.Advertising","Social.Media","Agriculture","Internet.of.Things","Mobile.Devices","Information.Technology","Information.Services","Customer.Service","Tourism","Travel","Corporate.Training","Training","Financial.Services","Payments","Beauty","Location.Based.Services","News","Search","Shopping","Price.Comparison","Furniture","Education","Professional.Services","Real.Estate","Publishing","Outsourcing","Consulting","Social.Recruiting","Curated.Web","Non.Profit","Communities","Venture.Capital","Hardware","Software","Manufacturing","Credit","Banking","Marketing","Business.Intelligence","Social.Entrepreneurship","Oil.and.Gas","Legal","Satellite.Communication","Communications.Infrastructure","E.Commerce.Platforms","Health.Care","Shipping","SaaS","Supply.Chain.Management","Shipping.Broker","Business.Development","Technical.Support","Finance","Wholesale","PaaS","FinTech","Energy","Retail","Innovation.Management","Apps","Consumer","Employment","Waste.Management","Advertising","B2B","Solar","Content","Music","Billing","mHealth","Marketing.Automation","Nutrition","Child.Care","Clean.Energy","Market.Research","Video","Web.Development","Web.Design","Recycling","Water","Classifieds","CRM","Food.and.Beverage","Restaurants","Content.Discovery","Food.Delivery","Marketplace","Farmers.Market","Analytics","Broadcasting","Social.Media.Marketing","Digital.Media","Local","Automotive","Electronics","Advice","Transportation","Impact.Investing","Photo.Sharing","Handmade","Art","Content.Delivery","Project.Management","Children","Gaming","Enterprise.Software","Recruiting","Big.Data","Blogging.Platforms","Sports","Web.Hosting","Mobile.Apps","Medical","Wellness","Digital.Entertainment","Teenagers","Advertising.Platforms","Messaging","Emerging.Markets","Audio","Media.and.Entertainment","Video.Streaming","Mobile.Payments","Gift.Card","Cloud.Computing","Loyalty.Programs","Events","Brand.Marketing","Public.Relations","Web.Analytics","Digital.Marketing","Parenting","Identity.Management","Crowdfunding","SEO","Private.Social.Networking","Career.Planning","Consumer.Electronics","Skill.Assessment","EdTech","Gamification","X3D.Technology","Security","Wireless","Human.Resources","Colleges","College.Campuses","Universities","SMS","Text.Analytics","Guides","VoIP","Video.Chat","Video.Conferencing","Printing","Shoes","Crowdsourcing","File.Sharing","Local.Advertising","IT.and.Cybersecurity","Commercial.Real.Estate","Insurance","Construction","Collaboration","STEM.Education","Cryptocurrency","Developer.APIs","Food.Processing","Building.Material","Fitness","Charity","Bitcoin","Android","Farming","Ticketing","Coworking","Computer","Underserved.Children","Subscription.Service","Film","Video.on.Demand","IaaS","Cyber.Security","Incubators","Service.Industry","Task.Management","Document.Management","Primary.Education","Social.Bookmarking","Mechanical.Design","Industrial.Engineering","Energy.Storage","Journalism","Social.CRM","ICT","Accounting","Leisure","Taxi.Service","Cloud.Data.Services","Industrial","Graphic.Design","Developer.Tools","Organic","Car.Sharing","Coffee","country","funding_rounds","funding_type","investors"
"1","★STARS★NG★™★","The Biggest Entertainment Platform in Africa Online – Imagine Cable TV online with 2500+ Channels, Streaming, Shopping, Movies, Music, News, Live Radio ,TV Shows, Events, Shows, Fashion, Gadgets, Accessories of all your favourite Stars showcasing their contents to their core vetted fanbase through the Stars Platform – Our Technology is created with the primary mission of Eradicating Piracy of Creative Contents in Music, Movies and Book Publishing by Tracking the Contents from the Distributor to the Retailers to the Consumer so that maximum revenues gets back to the creators of this contents instead of the pirates hiding behind the retailers",3e+05,97,0.354838709677419,0.48637345711392,11,1,"biggest entertainment platform online imagine cable tv online channels streaming shopping movies music news live radio tv shows events shows fashion gadgets accessories favourite stars showcasing contents core vetted fanbase stars platform technology created primary mission eradicating piracy creative contents music movies book publishing tracking contents distributor retailers consumer maximum revenues gets back creators contents instead pirates hiding behind retailers",FALSE,FALSE,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nigeria",1,"seed",""
"2","1500naira","1500naira at 1500Naira deals believe that good life doesn't have to be expensive and that is why we have developed a system that bridges the gap between manufacturers/service providers and you, to bring you the very best deals.    1500Naira Deals is the place to get all the things you need for N1500, such as clothes, footwear, accessories, books, event tickets, learning opportunities and other juicy discount deals.",0,67,0.36,0.489897948556636,9,0,"naira naira deals believe good life doesn expensive developed system bridges gap manufacturers service providers bring best deals naira deals place get things need n clothes footwear accessories books event tickets learning opportunities juicy discount deals",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nigeria",0,"",""
"3","360StartUp","360Startup provides entrepreneurship education and mentorship services to startups in the United States. This initiative is taken as a way to resolve the unemployment problems faced by many Africans.",0,29,0.642857142857143,0.487950036474267,18,0,"startup provides entrepreneurship education mentorship services startups united states initiative taken way resolve unemployment problems faced many africans",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nigeria",0,"",""
"4","366Football.com","366football.com provides the latest soccer news including livescore, transfer rumours, gossip, results, standings from Premier League, La Liga, Bundesliga, Champions League, Europa League, FA Cup and many more all year round.",0,31,0.264705882352941,0.447811075519899,9,0,"football provides latest soccer news including livescore transfer rumours gossip results standings premier league la liga bundesliga champions league europa league fa cup many year round",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nigeria",0,"",""
"5","3AL Universal Trade","CloudWare Technologies is a tech company setout to provide localized technological solutions to african problems.    Primarily CloudWare Technologies is into Enterprise,shared,dedicated and specilized Webhosting, Enterprise SMS Messaging, Online Payment systems integration, and work flow Automation.    Client base of CloudWare Technologies span from Countries Government, through myriad Organisations to individuals.",0,49,0.454545454545455,0.503686200509315,20,0,"cloudware technologies tech company setout provide localized technological solutions problems primarily cloudware technologies enterprise shared dedicated specilized webhosting enterprise sms messaging online payment systems integration work flow automation client base cloudware technologies span countries government myriad organisations individuals",FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nigeria",0,"",""
"6","42 Technovations","42 Technovations is a startup that focuses on leveraging on IT skills to provide solutions to human, social and environmental problems.",0,20,0.5,0.510753918455249,12,0,"technovations startup focuses leveraging skills provide solutions human social environmental problems",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nigeria",0,"",""
"7","440ng","440 is a joint venture between 88mph and L5Lab. We provide startups with between $20k-110k investment for 10-25% equity in their businesses.     We invest in startups that target the African markets and are scalable via web/mobile. We accept up to 10 startups per program who will spend 3 months with us, refining their products, business models, and go-to-market. Applications close August 1st. All startups will be notified by August 31st. Program runs from September 12th till December 12th.     Visit www.440.ng to find out more.",0,83,0.361702127659574,0.485687854441406,17,0,"joint venture mph l lab provide startups k k investment equity businesses invest startups target markets scalable via web mobile accept startups per program spend months us refining products business models go market applications close august st startups notified august st program runs september th till december th visit ng find",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nigeria",0,"",""
"8","500Shops","500Shops is a platform that allows anyone setup an online store in minutes.    500Shops' mission is to provide creative tools that help businesses sell their products online.    500Shops was officially born in December 2013 with the goal of making it ridiculously easy for businesses to setup and run an e-commerce store; for designers and developers to build useful tools to help these businesses; and consequently, create the highest quality experience for everyone involved.    We created 500Shops to take away the challenges involved in running an online store, so businesses can focus on what they know how to do best: making and selling their products.",5000,103,0.324324324324324,0.474578997876249,12,1,"shops platform allows anyone setup online store minutes shops mission provide creative tools help businesses sell products online shops officially born december goal making ridiculously easy businesses setup run commerce store designers developers build useful tools help businesses consequently create highest quality experience everyone involved created shops take away challenges involved running online store businesses focus know best making selling products",FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nigeria",1,"seed","tony-elumelu-foundation"
"9","5star SMS Nigeria","Rebruit is a social job platform that allows users create, find and share jobs. It integrates existing social platforms so that users can now leverage their high online engagement & large network to access quality jobs or talents.     Our platform combines a talent-to-job passive matching tool with incentive-driven crowdsourcing for users to help each other.     Our platform solves problems faced by jobseekers & recruiters by saving them time, effort & resources while also increasing their access to quality & trusted opportunities.",0,77,0.794117647058823,0.410425630121905,27,0,"rebruit social job platform allows users create find share jobs integrates existing social platforms users now leverage high online engagement large network access quality jobs talents platform combines talent job passive matching tool incentive driven crowdsourcing users help platform solves problems faced jobseekers recruiters saving time effort resources increasing access quality trusted opportunities",FALSE,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nigeria",0,"",""
"10","88mph.ac","88mph provides early-stage web/mobile companies with up to $100K in funding through their 3-month startup accelerator program.    They are a private seed fund with vibrant work spaces in Nairobi and Cape Town, and a talented network of startup founders, investors, corporate partners, and local business professionals. They add value to startups during the accelerator program by providing advice on products, go-to-market, sales, company structure, hiring, funding options, and scalability, as well as bringing in experienced individuals from around the world to fill in the gaps.",0,85,0.444444444444444,0.506369683541833,12,0,"mph provides early stage web mobile companies k funding month startup accelerator program private seed fund vibrant work spaces nairobi cape town talented network startup founders investors corporate partners local business professionals add value startups accelerator program providing advice products go market sales company structure hiring funding options scalability well bringing experienced individuals around world fill gaps",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kenya",0,"",""
