investors,investor_type
adlevo-capital|intel-capital|peninsula-capital|adlevo-capital|intel-capital,international
asanasio-namanya|abananye-oosasira,african
better-ventures,international
cdc-group,international
cdc-group|rethink-education|zuckerberg-education-ventures-2,international
cross-culture-ventures,international
daniel-guasco|paul-rutherford|matt-brewer,international
east-africa-capital-partners|emergence-capital-partners|liberty-global-ventures|oppenheimer-co-inc|sarona-frontier-markets,international
enzozo,international
fledge,african
fledge|echoing-green,international
hivos,international
international-finance-corporation|morgan-stanley,international
international-finance-corporation|the-world-bank-group,international
invested-development,international
invested-development|omvestments|urban-us|cheryl-heller|gary-scheft|synergy-growth|synergy-energy|steve-case|mks-alternative-investments|jim-sorenson,international
jacana-partners,african
jorn-lyseggen|frontier-digital-ventures|frontier-digital-ventures,international
kfw,international
kuvcapital,international
lgt-venture-philanthropy|blue-haven-initiative|lundin-foundation|commercial-bank-of-africa,international
lundin-foundation|blue-haven-initiative|venture-lab,international
lundin-foundation|isibindi-trust,international
mahendra-k-d-shah|ravi-shah|ritesh-doshi|88mph-ac,african
malimob-limited,NA
meltwater-foundation,african
nailab,african
nest,international
nokia,international
one-africa-media,african
pantera-capital|crypto-currency-partners|stephens-investment-management|future-perfect-ventures|digital-currency-group|bitfury-capital|digital-currency-group,international
patrick-pichette|garage-capital,international
paypal|kiva|sage-software|microsoft-dynamics,international
peery-foundation|usaid|the-eleos-foundation|novastar-ventures|acumen-fund|masschallenge|peery-foundation,international
rio-partners|savannah-fund,international
safaricom-foundation,african
savannah-fund,african
solidus-company,international
start-up-chile,international
startupbootcamp|meltwater-foundation,international
startupbootcamp|startupbootcamp-fintech,international
sumon-sadhu|marc-bell-ventures|playfair-capital,international
sunfunder|invested-development|novastar,international
tomorrow-ventures,international
transcentury,african
vantage-capital|deg,international
vilcap-investments,international
yago-arbeloa,international
